country,quarter,top5share
LT,2020-Q4,50.02
LT,2021-Q1,49.91
LT,2021-Q2,49.94
LT,2021-Q3,50.01
LT,2021-Q4,50.25
LT,2022-Q1,49.72
LT,2022-Q2,49.77
LT,2022-Q3,49.86
LT,2022-Q4,50.19
LT,2023-Q1,51.43
LT,2023-Q2,51.72
LT,2023-Q3,51.43
LT,2023-Q4,52
LT,2024-Q1,51.75
LT,2024-Q2,51.34
LT,2024-Q3,51.7
LT,2024-Q4,51.57
LT,2025-Q1,51.67
LU,2010-Q4,49.39
LU,2011-Q1,49.24
LU,2011-Q2,48.64
LU,2011-Q3,48.29
LU,2011-Q4,47.95
LU,2012-Q1,47.98
LU,2012-Q2,47.84
LU,2012-Q3,47.73
LU,2012-Q4,47.38
LU,2013-Q1,47.02
LU,2013-Q2,46.66
LU,2013-Q3,46.38
LU,2013-Q4,46.05
LU,2014-Q1,45.94
LU,2014-Q2,45.62
LU,2014-Q3,45.51
LU,2014-Q4,45.33
LU,2015-Q1,45.47
LU,2015-Q2,45.05
LU,2015-Q3,44.88
LU,2015-Q4,44.91
LU,2016-Q1,44.7
LU,2016-Q2,44.55
LU,2016-Q3,44.5
LU,2016-Q4,44.33
LU,2017-Q1,44.36
LU,2017-Q2,44.23
LU,2017-Q3,44.2
LU,2017-Q4,44.14
LU,2018-Q1,43.89
LU,2018-Q2,43.72
LU,2018-Q3,43.89
LU,2018-Q4,43.26
LU,2019-Q1,43.25
LU,2019-Q2,42.81
LU,2019-Q3,42.54
LU,2019-Q4,42.21
LU,2020-Q1,41.58
LU,2020-Q2,41.37
LU,2020-Q3,41.12
LU,2020-Q4,40.98
LU,2021-Q1,40.73
LU,2021-Q2,40.6
LU,2021-Q3,40.38
LU,2021-Q4,40.2
LU,2022-Q1,40.1
LU,2022-Q2,40.01
LU,2022-Q3,40.03
LU,2022-Q4,40.25
LU,2023-Q1,40.39
LU,2023-Q2,40.39
LU,2023-Q3,40.43
LU,2023-Q4,40.32
LU,2024-Q1,40.37
LU,2024-Q2,40.38
LU,2024-Q3,40.41
LU,2024-Q4,40.42
LU,2025-Q1,40.31
LV,2017-Q3,52.42
LV,2017-Q4,52.49
LV,2018-Q1,52.94
LV,2018-Q2,53.15
LV,2018-Q3,53
LV,2018-Q4,52.99
LV,2019-Q1,53.11
LV,2019-Q2,53.08
LV,2019-Q3,53.26
LV,2019-Q4,52.85
LV,2020-Q1,52.63
LV,2020-Q2,52.99
LV,2020-Q3,53.18
LV,2020-Q4,53.39
LV,2021-Q1,53.45
LV,2021-Q2,53.99
LV,2021-Q3,54.05
LV,2021-Q4,54.06
LV,2022-Q1,53.62
LV,2022-Q2,53.77
LV,2022-Q3,53.92
LV,2022-Q4,53.9
LV,2023-Q1,53.94
LV,2023-Q2,54.56
LV,2023-Q3,54.63
LV,2023-Q4,54.48
LV,2024-Q1,54.24
LV,2024-Q2,54.44
LV,2024-Q3,54.25
LV,2024-Q4,54.21
LV,2025-Q1,54.02
MT,2010-Q4,25.12
MT,2011-Q1,25.23
MT,2011-Q2,25.28
MT,2011-Q3,25.35
MT,2011-Q4,25.64
MT,2012-Q1,26.17
MT,2012-Q2,26.11
MT,2012-Q3,26.1
MT,2012-Q4,26.28
MT,2013-Q1,26.78
MT,2013-Q2,26.97
MT,2013-Q3,26.74
MT,2013-Q4,27.01
MT,2014-Q1,27.58
MT,2014-Q2,28.23
MT,2014-Q3,28.73
MT,2014-Q4,29.22
MT,2015-Q1,29.84
MT,2015-Q2,30.17
MT,2015-Q3,30
MT,2015-Q4,30.24
MT,2016-Q1,31.33
MT,2016-Q2,31.68
MT,2016-Q3,31.76
MT,2016-Q4,32.13
MT,2017-Q1,32.38
MT,2017-Q2,32.16
MT,2017-Q3,32.03
MT,2017-Q4,31.8
MT,2018-Q1,31.91
MT,2018-Q2,31.42
MT,2018-Q3,31.24
MT,2018-Q4,31.09
MT,2019-Q1,31.41
MT,2019-Q2,31.16
MT,2019-Q3,31.38
MT,2019-Q4,31.27
